BudgetPeriod,Budget Amount,BudgetYear,Customer Number,textBudgetPeriod
0,1,-4841.4,2008,10015325,Jan
1,1,-2927.53,2008,10025305,Jan
2,1,-1464.95,2008,10025269,Jan
3,1,-1126.74,2008,10000455,Jan
4,1,-971.65,2008,10015783,Jan
5,1,-828.86,2008,10022755,Jan
6,1,-276.54,2008,10017072,Jan
7,1,-30.94,2008,10014495,Jan
8,1,4.29,2008,10018352,Jan
9,1,22.48,2008,10020445,Jan
10,1,23.21,2008,10014802,Jan
11,1,26.57,2008,10017036,Jan
12,1,27.96,2008,10012234,Jan
13,1,33.78,2008,10026532,Jan
14,1,35.91,2008,10023275,Jan
15,1,42.1,2008,10025061,Jan
16,1,44.78,2008,10021185,Jan
17,1,53.0,2008,10003720,Jan
18,1,58.99,2008,10000462,Jan
19,1,71.38,2008,10016045,Jan
20,1,73.02,2008,10019900,Jan
21,1,76.17,2008,10008593,Jan
22,1,79.79,2008,10010698,Jan
23,1,94.58,2008,10023471,Jan
24,1,95.4,2008,10024524,Jan
25,1,108.8,2008,10000469,Jan
26,1,121.86,2008,10023516,Jan
27,1,129.42,2008,10022167,Jan
28,1,152.59,2008,10027381,Jan
29,1,152.88,2008,10025549,Jan
30,1,167.62,2008,10011981,Jan
31,1,178.84,2008,10006093,Jan
32,1,180.16,2008,10003749,Jan
33,1,184.43,2008,10016047,Jan
34,1,185.04,2008,10023235,Jan
35,1,188.78,2008,10026062,Jan
36,1,192.91,2008,10004255,Jan
37,1,207.24,2008,10025289,Jan
38,1,212.71,2008,10026581,Jan
39,1,222.23,2008,10025034,Jan
40,1,234.03,2008,10025284,Jan
41,1,248.52,2008,10027082,Jan
42,1,252.29,2008,10023489,Jan
43,1,280.51,2008,10010897,Jan
44,1,295.24,2008,10009647,Jan
45,1,312.58,2008,10019678,Jan
46,1,338.06,2008,10027340,Jan
47,1,342.91,2008,10026522,Jan
48,1,350.0,2008,10011521,Jan
49,1,360.85,2008,10025287,Jan
50,1,378.13,2008,10020907,Jan
51,1,378.86,2008,10016564,Jan
52,1,384.47,2008,10007120,Jan
53,1,394.44,2008,10022431,Jan
54,1,464.99,2008,10020639,Jan
55,1,503.0,2008,10019665,Jan
56,1,506.21,2008,10007591,Jan
57,1,516.0,2008,1000601,Jan
58,1,531.74,2008,10024009,Jan
59,1,548.74,2008,10025038,Jan
60,1,548.97,2008,10024262,Jan
61,1,558.25,2008,10026038,Jan
62,1,562.39,2008,10025304,Jan
63,1,569.74,2008,10024010,Jan
64,1,576.8,2008,10018867,Jan
65,1,588.67,2008,10003795,Jan
66,1,601.39,2008,10025248,Jan
67,1,615.58,2008,10018580,Jan
68,1,620.71,2008,10026006,Jan
69,1,658.04,2008,10019664,Jan
70,1,663.84,2008,10019897,Jan
71,1,665.94,2008,10007123,Jan
72,1,669.57,2008,10011398,Jan
73,1,679.55,2008,10025583,Jan
74,1,710.68,2008,10000456,Jan
75,1,731.89,2008,10023513,Jan
76,1,735.06,2008,10020931,Jan
77,1,742.91,2008,10025021,Jan
78,1,777.51,2008,10014043,Jan
79,1,782.13,2008,10005043,Jan
80,1,782.45,2008,10013509,Jan
81,1,782.58,2008,10025571,Jan
82,1,830.01,2008,10025299,Jan
83,1,846.41,2008,10000481,Jan
84,1,885.15,2008,10000475,Jan
