Item Branch G/L Category,Item-Branch Key,Item Branch Reorder Quantity,Short Name
0,TMTG,CR-10977,0,10977
1,TMTG,CR-10977,0,10977
2,SRCW,CR-10734,0,10734
3,SRCW,CR-10734,0,10734
4,ACCE,CR-10311,0,10311
5,ACCE,CR-10311,0,10311
6,AXLE,CR-10813,0,10813
7,AXLE,CR-10813,0,10813
8,AXLE,CR-10180,0,10180
9,AXLE,CR-10180,0,10180
10,THUB,CR-10345,0,10345
11,THUB,CR-10345,0,10345
12,MKTG,CR-10950,0,10950
13,MKTG,CR-10950,0,10950
14,MKTG,CR-10029,0,10029
15,MKTG,CR-10029,0,10029
16,SRCW,CR-10295,0,10295
17,SRCW,CR-10295,0,10295
18,AFAB,CR-10393,0,10393
19,AFAB,CR-10393,0,10393
20,TFAB,CR-10656,0,10656
21,TFAB,CR-10656,0,10656
22,AXLE,CR-10814,0,10814
23,AXLE,CR-10814,0,10814
24,SRCW,CR-10018,0,10018
25,SRCW,CR-10018,0,10018
26,TFAB,CR-10229,0,10229
27,TFAB,CR-10229,0,10229
28,THUB,CR-10346,0,10346
29,THUB,CR-10346,0,10346
30,TMTG,CR-10588,0,10588
31,TMTG,CR-10588,0,10588
32,MKTG,CR-10951,50000,10951
33,MKTG,CR-10951,50000,10951
34,SRCW,CR-10296,0,10296
35,SRCW,CR-10296,0,10296
36,TMTG,CR-10378,0,10378
37,TMTG,CR-10378,0,10378
38,TMTG,CR-10030,0,10030
39,TMTG,CR-10030,0,10030
40,TFAB,CR-10657,0,10657
41,TFAB,CR-10657,0,10657
42,AXLE,CR-10815,0,10815
43,AXLE,CR-10815,0,10815
44,TMTG,CR-10965,0,10965
45,TMTG,CR-10965,0,10965
46,SRCW,CR-10019,0,10019
47,SRCW,CR-10019,0,10019
48,AFAB,CR-10230,0,10230
49,AFAB,CR-10230,0,10230
50,MKTG,CR-10952,10000,10952
51,MKTG,CR-10952,10000,10952
52,NISS,PC-10691,0,10691
53,NISS,PC-10691,0,10691
54,SRCW,CR-10297,0,10297
55,SRCW,CR-10297,0,10297
56,TFAB,CR-10623,0,10623
57,TFAB,CR-10623,0,10623
58,SRCW,CR-10075,0,10075
59,SRCW,CR-10075,0,10075
60,SMWN,CR-10254,0,10254
61,SMWN,CR-10254,0,10254
62,SMWN,CR-10312,0,10312
63,SMWN,CR-10312,0,10312
64,TFAB,CR-10658,0,10658
65,TFAB,CR-10658,0,10658
66,AXLE,CR-10816,0,10816
67,AXLE,CR-10816,0,10816
68,TMTG,CR-10966,0,10966
69,TMTG,CR-10966,0,10966
70,SRCW,CR-10649,0,10649
71,SRCW,CR-10649,0,10649
72,ATVW,CR-10702,0,10702
73,ATVW,CR-10702,0,10702
74,MKTG,CR-10953,500000,10953
75,MKTG,CR-10953,500000,10953
76,IWE,PC-10725,0,10725
77,IWE,PC-10725,0,10725
78,SRCW,CR-10001,0,10001
79,SRCW,CR-10001,0,10001
80,SRCW,CR-10298,0,10298
81,SRCW,CR-10298,0,10298
82,TMTG,CR-10379,0,10379
83,TMTG,CR-10379,0,10379
84,TFAB,CR-10624,0,10624
85,TFAB,CR-10624,0,10624
86,SRCW,CR-10313,0,10313
87,SRCW,CR-10313,0,10313
88,TFAB,CR-10659,0,10659
89,TFAB,CR-10659,0,10659
90,AXLE,CR-10817,0,10817
91,AXLE,CR-10817,0,10817
92,ACCE,CR-10878,0,10878
93,ACCE,CR-10878,0,10878
94,TFAB,CR-10347,0,10347
95,TFAB,CR-10347,0,10347
96,AXLE,CR-10534,0,10534
97,AXLE,CR-10534,0,10534
98,TMTG,CR-10589,0,10589
99,TMTG,CR-10589,0,10589
100,TFAB,CR-10625,0,10625
101,TFAB,CR-10625,0,10625
102,SRCW,CR-10914,0,10914
103,SRCW,CR-10914,0,10914
104,SRCW,CR-10314,0,10314
105,SRCW,CR-10314,0,10314
106,SMWN,CR-10580,0,10580
107,SMWN,CR-10580,0,10580
108,THUB,CR-10818,0,10818
109,THUB,CR-10818,0,10818
110,SRCW,CR-10231,0,10231
111,SRCW,CR-10231,0,10231
112,TMTG,CR-10482,0,10482
113,TMTG,CR-10482,0,10482
