Master Planning Family,Product Group,Product Line,Product Price Group,Product Sub Group,Short Name
0, ,7,1,N,3,10977
1, ,7,1,N,3,10977
2, ,7,1,N,3,10977
3,G09,7,1, ,3,10977
4,G09,7,1, ,3,10977
5,G09,7,1, ,3,10977
6,30,13,1,N,110,10734
7,30,13,1,N,110,10734
8,30,13,1,N,110,10734
9,50,13,1,N,110,10734
10,50,13,1,N,110,10734
11,50,13,1,N,110,10734
12,50,13,1,N,110,10734
13,50,13,1,N,110,10734
14,50,13,1,N,110,10734
15,10,3,1,N,31,10311
16,10,3,1,N,31,10311
17,10,3,1,N,31,10311
18,30,3,1,N,31,10311
19,30,3,1,N,31,10311
20,30,3,1,N,31,10311
21,G14,3,1, ,31,10311
22,G14,3,1, ,31,10311
23,G14,3,1, ,31,10311
24,G17,19,1, ,61,10813
25,G17,19,1, ,61,10813
26,G17,19,1, ,61,10813
27,G03,19,1, ,61,10813
28,G03,19,1, ,61,10813
29,G03,19,1, ,61,10813
30,0,19,1,1,61,10813
31,0,19,1,1,61,10813
32,0,19,1,1,61,10813
33,30,19,1,N,61,10180
34,30,19,1,N,61,10180
35,30,19,1,N,61,10180
36,50,19,1,N,61,10180
37,50,19,1,N,61,10180
38,50,19,1,N,61,10180
39, ,19,1,0,61,10180
40, ,19,1,0,61,10180
41, ,19,1,0,61,10180
42,P01,6,1,   ,96,10345
43,P01,6,1,   ,96,10345
44,P01,6,1,   ,96,10345
45,SRS,6,1,N,96,10345
46,SRS,6,1,N,96,10345
47,SRS,6,1,N,96,10345
48,G17,6,1, ,96,10345
49,G17,6,1, ,96,10345
50,G17,6,1, ,96,10345
51,   ,5,1,   ,35,10950
52,   ,5,1,   ,35,10950
53,   ,5,1,   ,35,10950
54, ,5,1,N,35,10950
55, ,5,1,N,35,10950
56, ,5,1,N,35,10950
57, ,5,1,N,35,10950
58, ,5,1,N,35,10950
59, ,5,1,N,35,10950
60,   ,6,1,   ,58,10029
61,   ,6,1,   ,58,10029
62,   ,6,1,   ,58,10029
63, ,6,1,N,58,10029
64, ,6,1,N,58,10029
65, ,6,1,N,58,10029
66, ,6,1,N,58,10029
67, ,6,1,N,58,10029
68, ,6,1,N,58,10029
69,G17,6,1, ,58,10029
70,G17,6,1, ,58,10029
71,G17,6,1, ,58,10029
72,TRK,3,1,N,33,10295
73,TRK,3,1,N,33,10295
74,TRK,3,1,N,33,10295
75,G17,3,1, ,33,10295
76,G17,3,1, ,33,10295
77,G17,3,1, ,33,10295
78,0,3,1,300,33,10295
79,0,3,1,300,33,10295
80,0,3,1,300,33,10295
81,30,13,1,N,34,10393
82,30,13,1,N,34,10393
83,30,13,1,N,34,10393
84, ,13,1,N,34,10393
85, ,13,1,N,34,10393
86, ,13,1,N,34,10393
87,G17,13,1, ,34,10393
88,G17,13,1, ,34,10393
89,G17,13,1, ,34,10393
90,30,6,1,N,96,10656
91,30,6,1,N,96,10656
92,30,6,1,N,96,10656
93,50,6,1,N,96,10656
94,50,6,1,N,96,10656
95,50,6,1,N,96,10656
96,G17,6,1, ,96,10656
97,G17,6,1, ,96,10656
98,G17,6,1, ,96,10656
99,G03,19,1, ,61,10814
100,G03,19,1, ,61,10814
101,G03,19,1, ,61,10814
102,   ,19,1,0,61,10814
103,   ,19,1,0,61,10814
104,   ,19,1,0,61,10814
105,0,19,1,1,61,10814
106,0,19,1,1,61,10814
107,0,19,1,1,61,10814
108,10,6,1,N,62,10018
109,10,6,1,N,62,10018
110,10,6,1,N,62,10018
111,50,6,1,N,62,10018
112,50,6,1,N,62,10018
113,50,6,1,N,62,10018
114,50,21,1,N,54,10229
115,50,21,1,N,54,10229
116,50,21,1,N,54,10229
117, ,21,1,N,54,10229
118, ,21,1,N,54,10229
119, ,21,1,N,54,10229
120,0,21,1,1,54,10229
121,0,21,1,1,54,10229
122,0,21,1,1,54,10229
123,SRS,6,1,N,97,10346
124,SRS,6,1,N,97,10346
125,SRS,6,1,N,97,10346
126,G17,6,1, ,97,10346
127,G17,6,1, ,97,10346
128,G17,6,1, ,97,10346
129,G17,6,1, ,97,10346
130,G17,6,1, ,97,10346
131,G17,6,1, ,97,10346
132, ,2,1,N,26,10588
133, ,2,1,N,26,10588
134, ,2,1,N,26,10588
135,G13,2,1, ,26,10588
136,G13,2,1, ,26,10588
137,G13,2,1, ,26,10588
138,G13,2,1, ,26,10588
139,G13,2,1, ,26,10588
140,G13,2,1, ,26,10588
141,   ,5,1,   ,35,10951
142,   ,5,1,   ,35,10951
143,   ,5,1,   ,35,10951
144,50,5,1,N,35,10951
145,50,5,1,N,35,10951
146,50,5,1,N,35,10951
147, ,5,1,N,35,10951
